title,author,isbn,genre,publication_year,date_acquired,read_status,rating,format,pages
As aventuras de Tintim 4 - a ilha negra,Hergé,9781043321819,Biography,1954,2015-02-07,reading,,physical,323
A Biblioteca da Meia-Noite,Matt Haig,,Mystery,1969,2018-06-04,unread,,physical,472
A Cabana,William P. Young,9789407816184,Poetry,2029,2024-04-23,unread,2,physical,416
A Casa do Penhasco,Agatha Christie,9781316475255,Science Fiction,1984,2026-11-21,unread,,physical,370
A Conspiração Franciscana,John Sack,9782764835030,Graphic Novel,1990,2021-05-03,read,9,audiobook,0
A Cor Púrpura,Alice Walker,9783767242388,Mystery,2024,2021-10-13,read,5,audiobook,261
A Empregada,Freida McFadden,9787101226916,Biography,2009,2023-05-18,read,5,physical,237
A Guerra dos Tronos,George R. R. Martin,9784514627048,Graphic Novel,1972,2023-02-28,read,5,ebook,639
As Últimas Testemunhas,Svetlana Aleksiévitch,,Fiction,1964,2020-05-08,unread,,kindle,200
A Guerra não tem rosto de mulher,Svetlana Aleksiévitch,9781718227824,History,2004,2018-09-25,read,4,physical,439
A liberdade é uma luta constante,Angela Davis,9785787133150,Thriller,2020,2018-10-08,unread,,ebook,180
A Marca Humana,Philip Roth,9783105183473,History,1966,2026-10-19,read,2,ebook,536
A Menina que Roubava Livros,Markus Zusak,,Biography,1993,2016-04-07,reading,,physical,552
A Mulher de Pés Descalços,Scholastique Mukasonga,97812345678AB,Poetry,1951,2016-04-06,read,1,physical,530
A Paciente Silenciosa,Alex Michaelides,9782606474687,Fantasy,1974,2019-04-02,read,1,physical,441
A Praça do Diamante,Mercè Rodoreda,9780978820812,Non-fiction,1958,2025-04-13,unread,,ebook,372
A Promessa,Friedrich Dürrenmatt,9789909169985,Mystery,1976,2025-12-11,reading,,physical,427
A Revolução dos Bichos,George Orwell,,Science Fiction,2014,2019-03-12,read,3,ebook,498
A Última Casa da Rua Needless,Catriona Ward,9782784980841,Fantasy,1983,2016-02-24,read,3,physical,335
A Velocidade da Luz,Javier Cercas,,Fiction,1992,2017-11-09,reading,,physical,557
A Viagem de Theo,Catherine Clément,9788011280598,Fantasy,2005,2017-01-10,read,3,audiobook,160
Amanhecer,Stephenie Meyer,9783315869232,Graphic Novel,1972,2021-01-06,read,2,physical,541
Amêndoas,Won-pyung Sohn,9784216073375,Mystery,1979,2018-01-22,reading,,physical,191
Amor(es) Verdadeiro(s),Taylor Jenkins Reid,9784586850142,Thriller,1983,2015-02-20,read,4,kindle,441
Angola Janga,Marcelo D'Salete,9789816934060,History,2018,2025-12-24,read,1,physical,561
Anjos e Demônios,Dan Brown,9785951484656,Young Adult,1987,2023-03-07,read,5,audiobook,298
Arsène Lupin contra Sherlock Holmes,Maurice Leblanc,9789468044369,Thriller,1991,2022-08-15,read,1,physical,293
As Alegrias da Maternidade,Buchi Emecheta,9784895134332,Fiction,1955,2018-08-20,read,5,physical,544
As Aventuras de Sherlock Holmes,Arthur Conan Doyle,9783676320163,Fantasy,2016,2022-01-18,reading,,ebook,587
Assassinato na Casa do Pastor,Agatha Christie,97812345678AB,Poetry,2020,2022-03-24,read,3,physical,373
Assassinato no Campo de Golfe,Agatha Christie,9788734714345,Romance,2019,2016-03-05,reading,,physical,339
Assassinato no Expresso Oriente,Agatha Christie,9781665876036,Biography,2024,2026-01-28,read,1,physical,608
Astrid Parker Nunca Falha,Ashley Herring Blake,12345,Mystery,2005,2022-01-13,read,2,physical,534
Aura,Carlos Fuentes,9787298069901,Classic,2004,2017-08-06,unread,,physical,336
Aya de Yopougon,Marguerite Abouet e Clément Oubrerie (Autor),9787556464170,Young Adult,2019,2015-06-08,read,1,ebook,161
Azul é a Cor Mais Quente,Julie Maroh,,Science Fiction,2009,2026-05-25,read,2,physical,237
Bem-vindos à Livraria Hyunam-dong,Hwang Bo-reum,9784190496631,Thriller,1981,2016-12-25,read,5,physical,243
Big tech: A Ascensão dos dados e a morte da política,Evgeny Morozov,9780586518506,Poetry,2012,2016-07-12,read,4,ebook,276
Billy the Kid,Pat Garrett,9782849877694,Romance,2030,2016-05-15,reading,,physical,508
Book Love,Debbie Tung,9785075273545,Mystery,1985,2023-01-17,read,4,physical,536
Cai o Pano: O último caso de Poirot,Agatha Christie,9788377701436,Young Adult,1981,2019-11-19,read,4,physical,472
Canção para Ninar Menino Grande,Conceição Evaristo,9788557444313,Romance,1965,2026-09-25,read,3,physical,615
Carta a D.,André Gorz,9789894134352,Mystery,1951,2026-09-05,read,2,audiobook,419
Casas Estranhas,Uketsu,9787109477752,Fiction,1982,2022-02-27,unread,,physical,174
Complete tales and Poems with Selected Essays,Edgar Allan Poe,9782294131869,Thriller,1978,2023-07-15,read,3,physical,559
Contos de Mistério,Edgar Allan Poe,9789909133412,Science Fiction,1972,2023-02-06,unread,,physical,601
Crepúsculo dos ídolos,Friedrich Nietzsche,9784034471349,Classic,1975,2021-02-18,reading,,physical,392
Crepúsculo,Stephenie Meyer,9782102499471,Self-help,1988,2026-07-09,read,5,physical,202
Die Skorpion-Frau,Roland Dittrich,9780659401399,Fiction,1984,2024-01-25,read,3,physical,572
Discurso sobre o colonialismo,Aimé Césaire,9782967175655,Classic,1963,2017-06-14,read,5,physical,530
Duas Vidas,Fabien Toulmé,9780715451680,Classic,2019,2022-07-02,reading,,physical,630
É a Ales,Jon Fosse,12345,Fiction,1980,2026-03-10,read,2,physical,215
É Isto um Homem?,Primo Levi,9781712748467,Self-help,1981,2022-09-05,read,2,audiobook,640
E Não Sobrou Nenhum,Agatha Christie,9781465840449,Thriller,2012,2017-08-18,read,4,physical,506
Echo Park,Michael Connelly,9785339636057,Young Adult,1998,2021-11-26,read,1,audiobook,627
Eclipse,Stephenie Meyer,9782895171870,Young Adult,2027,2021-11-05,unread,,ebook,391
Encontro com a Morte,Agatha Christie,9785961586578,Fiction,1958,2018-11-22,read,4,audiobook,212
Espinosa Sem Saída,Luiz Alfredo Garcia-Roza,9781172400504,Romance,1997,2021-03-08,Read,2,physical,304
Eu Sei Por Que o Pássaro Canta na Gaiola,Maya Angelou,9782196937923,Self-help,1982,2022-05-22,unread,,ebook,414
Felicidade e Outros Contos,Katherine Mansfield,,Poetry,1988,2018-07-28,read,5,physical,487
Garota Exemplar,Gillian Flynn,9784406409097,Poetry,1986,2018-10-26,read,2,physical,376
Gomorra,Roberto Saviano,9789261796405,Romance,2003,2017-04-05,read,5,ebook,494
Heartstopper,Alice Oseman,9788424745171,Fantasy,1978,2025-12-22,,1,audiobook,494
Hibisco Roxo,Chimamanda Ngozi Adichie,9786048175496,Poetry,1997,2016-11-08,read,5,physical,455
História universal da infâmia,Jorge Luis Borges,9783174612004,Self-help,1964,18/04/2016,unread,,physical,549
HQ Sapiens,Yuval Noah Harari,9789261796405,Science Fiction,2006,2022-04-28,read,5,audiobook,496
