title,author
As aventuras de Tintim 4 - a ilha negra,Hergé
A Biblioteca da Meia-Noite,Matt Haig
A Cabana,William P. Young
A Casa do Penhasco,Agatha Christie
A Conspiração Franciscana,John Sack
A Cor Púrpura,Alice Walker
A Empregada,Freida McFadden
A Guerra dos Tronos,George R. R. Martin
As Últimas Testemunhas,Svetlana Aleksiévitch
A Guerra não tem rosto de mulher,Svetlana Aleksiévitch
A liberdade é uma luta constante,Angela Davis
A Marca Humana,Philip Roth
A Menina que Roubava Livros,Markus Zusak
A Mulher de Pés Descalços,Scholastique Mukasonga
A Paciente Silenciosa,Alex Michaelides
A Praça do Diamante,Mercè Rodoreda
A Promessa,Friedrich Dürrenmatt
A Revolução dos Bichos,George Orwell
A Última Casa da Rua Needless,Catriona Ward
A Velocidade da Luz,Javier Cercas
A Viagem de Theo,Catherine Clément
Amanhecer,Stephenie Meyer
Amêndoas,Won-pyung Sohn
Amor(es) Verdadeiro(s),Taylor Jenkins Reid
Angola Janga,Marcelo D'Salete
Anjos e Demônios,Dan Brown
Arsène Lupin contra Sherlock Holmes,Maurice Leblanc
As Alegrias da Maternidade,Buchi Emecheta
As Aventuras de Sherlock Holmes,Arthur Conan Doyle
Assassinato na Casa do Pastor,Agatha Christie
Assassinato no Campo de Golfe,Agatha Christie
Assassinato no Expresso Oriente,Agatha Christie
Astrid Parker Nunca Falha,Ashley Herring Blake
Aura,Carlos Fuentes
Aya de Yopougon,Marguerite Abouet e Clément Oubrerie (Autor)
Azul é a Cor Mais Quente,Julie Maroh
Bem-vindos à Livraria Hyunam-dong,Hwang Bo-reum
Big tech: A Ascensão dos dados e a morte da política,Evgeny Morozov
Billy the Kid,Pat Garrett
Book Love,Debbie Tung
Cai o Pano: O último caso de Poirot,Agatha Christie
Canção para Ninar Menino Grande,Conceição Evaristo
Carta a D.,André Gorz
Casas Estranhas,Uketsu
Complete tales and Poems with Selected Essays,Edgar Allan Poe
Contos de Mistério,Edgar Allan Poe
Crepúsculo dos ídolos,Friedrich Nietzsche
Crepúsculo,Stephenie Meyer
Die Skorpion-Frau,Roland Dittrich
Discurso sobre o colonialismo,Aimé Césaire
Duas Vidas,Fabien Toulmé
É a Ales,Jon Fosse
É Isto um Homem?,Primo Levi
E Não Sobrou Nenhum,Agatha Christie
Echo Park,Michael Connelly
Eclipse,Stephenie Meyer
Encontro com a Morte,Agatha Christie
